date,1. open,2. high,3. low,4. close,5. volume
2021-10-13,20.03,20.13,19.52,20.0,6369232.0
2021-10-12,19.2,20.0,19.15,19.99,6055985.0
2021-10-11,18.43,19.36,18.3834,19.07,5494327.0
2021-10-08,18.71,19.095,18.38,18.4,5892591.0
2021-10-07,18.035,18.98,17.7901,18.66,7905586.0
2021-10-06,17.87,18.13,17.6,17.92,7285208.0
2021-10-05,18.09,18.35,17.77,17.99,7894937.0
2021-10-04,19.16,19.18,17.9233,18.01,13206357.0
2021-10-01,19.91,20.05,18.77,19.31,15686291.0
2021-09-30,20.39,20.4087,19.56,19.99,12841022.0
2021-09-29,20.91,21.51,20.35,20.43,10637777.0
2021-09-28,20.36,21.425,20.15,20.83,17695511.0
2021-09-27,19.93,20.85,19.88,20.47,11257196.0
2021-09-24,20.17,20.27,19.81,19.91,10711573.0
2021-09-23,20.57,20.66,20.285,20.51,7027292.0
2021-09-22,20.17,20.711,20.14,20.32,6155579.0
2021-09-21,20.3,20.4399,19.87,20.31,10085347.0
2021-09-20,20.31,20.81,20.01,20.25,10770903.0
2021-09-17,20.97,21.51,20.6,21.31,11677684.0
2021-09-16,20.58,20.7799,20.105,20.7,7872040.0
2021-09-15,20.76,20.8548,20.265,20.61,12443684.0
2021-09-14,21.07,21.815,20.905,21.14,7442473.0
2021-09-13,20.84,21.62,20.3,21.22,12217295.0
2021-09-10,21.84,21.84,20.64,20.68,14028118.0
2021-09-09,21.3,22.07,21.2815,21.87,5746048.0
2021-09-08,22.32,22.4,21.365,21.67,8666038.0
2021-09-07,22.3,22.99,22.09,22.58,9987792.0
2021-09-03,22.68,22.93,21.76,22.01,19224425.0
2021-09-02,23.79,23.8,22.18,22.97,42543171.0
2021-09-01,20.97,21.92,20.9402,21.23,16637061.0
2021-08-31,20.99,21.7,20.89,21.15,7563350.0
2021-08-30,21.42,21.62,20.735,20.89,7807197.0
2021-08-27,21.74,21.85,21.19,21.24,8197458.0
2021-08-26,22.01,22.46,21.31,21.36,6124302.0
2021-08-25,22.7,22.7,21.82,22.24,4904752.0
2021-08-24,22.33,22.6,22.0101,22.54,4401202.0
2021-08-23,21.42,22.12,21.34,21.97,3983644.0
2021-08-20,20.82,21.5193,20.76,21.26,4375584.0
2021-08-19,21.5,21.5792,20.74,20.79,6455110.0
2021-08-18,22.12,22.17,21.39,21.75,6214551.0
2021-08-17,22.37,22.37,21.3,21.86,6645507.0
2021-08-16,23.69,23.77,22.47,22.55,6305316.0
2021-08-13,25.08,25.1,23.81,23.99,3933886.0
2021-08-12,24.74,25.22,23.89,25.18,3738297.0
2021-08-11,26.6,26.6829,24.33,25.06,7858315.0
2021-08-10,26.21,26.43,25.38,26.02,5702021.0
2021-08-09,24.04,26.35,23.82,25.74,7805544.0
2021-08-06,24.74,25.09,23.6169,23.81,5368292.0
2021-08-05,23.57,24.99,23.15,24.67,7960945.0
2021-08-04,23.4,23.93,23.03,23.22,4290149.0
2021-08-03,23.5,23.62,22.7331,23.12,3553392.0
2021-08-02,23.5,23.83,22.97,23.36,5069603.0
2021-07-30,24.56,24.65,23.45,23.65,4119910.0
2021-07-29,24.91,24.96,23.78,24.07,6056617.0
2021-07-28,22.75,24.64,22.7,24.37,7640021.0
2021-07-27,23.02,23.18,21.91,22.75,6813033.0
2021-07-26,22.54,24.18,22.5,23.23,6218515.0
2021-07-23,24.01,24.2,22.53,22.56,9745700.0
2021-07-22,26.115,26.21,23.89,24.06,7813224.0
2021-07-21,24.88,26.0309,24.4,25.96,6258017.0
2021-07-20,23.73,24.72,23.6,24.53,6863741.0
2021-07-19,22.73,23.87,22.37,23.47,6772754.0
2021-07-16,23.35,23.57,22.83,22.96,5253063.0
2021-07-15,24.24,24.564,22.8,23.27,17346561.0
2021-07-14,26.2,26.2,23.93,24.52,10909098.0
2021-07-13,27.3,27.4,25.915,26.09,8614920.0
2021-07-12,28.08,29.48,27.6667,28.84,4810105.0
2021-07-09,28.79,28.7999,27.7,27.9,3776221.0
2021-07-08,27.67,28.36,27.09,28.06,4657191.0
2021-07-07,31.18,31.21,28.41,28.5,7035805.0
2021-07-06,32.15,32.51,30.85,31.11,3446505.0
2021-07-02,33.33,33.78,31.8,32.02,3390819.0
2021-07-01,35.17,35.47,32.59,32.98,3917478.0
2021-06-30,35.29,35.5,34.6727,34.74,3382287.0
2021-06-29,34.925,36.86,34.31,35.69,6103980.0
2021-06-28,32.0,35.06,31.84,34.94,7028333.0
2021-06-25,32.37,32.8145,31.22,31.67,10722184.0
2021-06-24,33.25,33.57,31.53,31.91,5909159.0
2021-06-23,32.25,33.45,32.19,32.91,3615671.0
2021-06-22,32.65,33.84,32.39,32.74,4963582.0
2021-06-21,33.61,33.72,31.87,32.61,6328439.0
2021-06-18,32.04,33.61,31.9,33.14,18824808.0
2021-06-17,30.69,33.28,30.6,31.96,8411455.0
2021-06-16,29.02,31.51,29.0018,31.35,8539711.0
2021-06-15,29.8,30.28,28.52,29.39,4458859.0
2021-06-14,28.65,30.3,28.65,29.83,6210885.0
2021-06-11,28.12,28.8098,28.09,28.72,2260379.0
2021-06-10,28.17,28.5763,27.26,28.09,3032002.0
2021-06-09,29.4,29.65,28.18,28.31,3928825.0
2021-06-08,29.54,30.26,28.78,29.5,6664918.0
2021-06-07,28.01,29.7496,27.69,29.52,7190666.0
2021-06-04,27.4,28.24,26.44,28.11,6506301.0
2021-06-03,26.65,28.35,25.65,26.27,5436002.0
2021-06-02,25.74,27.38,25.05,27.3,6127406.0
2021-06-01,24.77,26.17,24.25,25.96,4273364.0
2021-05-28,25.2,25.84,24.1,24.35,3566527.0
2021-05-27,25.0,25.33,24.3,25.33,3234051.0
2021-05-26,23.11,25.47,23.02,25.05,5699718.0
2021-05-25,23.37,23.66,22.77,23.01,2265753.0
2021-05-24,23.7,24.065,23.05,23.4,2352748.0
2021-05-21,24.35,24.89,23.41,23.68,3262274.0
2021-05-20,23.63,24.54,23.58,24.34,2486884.0
2021-05-19,22.37,23.9299,22.25,23.8,2763646.0
2021-05-18,23.23,24.11,22.64,23.75,4178363.0
2021-05-17,21.51,23.08,21.41,23.08,2537182.0
2021-05-14,20.9,22.05,20.4,22.01,3297646.0
2021-05-13,21.19,22.0,19.56,20.21,4896826.0
2021-05-12,21.48,22.12,20.7,20.94,3416127.0
2021-05-11,20.03,22.3299,20.0,22.18,5094976.0
2021-05-10,22.88,22.88,21.21,21.34,3883717.0
2021-05-07,22.88,23.44,22.4,22.63,3002575.0
2021-05-06,22.65,23.19,21.95,22.5,3672204.0
2021-05-05,23.13,23.85,22.97,23.12,2085781.0
2021-05-04,23.06,23.48,21.68,23.12,6282251.0
2021-05-03,25.21,25.46,23.4,23.58,5808572.0
2021-04-30,24.37,26.12,24.25,25.32,5689929.0
2021-04-29,26.77,26.82,24.53,24.98,7885750.0
2021-04-28,24.14,26.74,23.84,26.33,9151449.0
2021-04-27,27.1,27.1,24.57,25.15,9514562.0
2021-04-26,25.16,26.49,24.51,26.43,8031760.0
2021-04-23,22.8,24.55,22.5,24.38,8815698.0
2021-04-22,22.56,23.25,21.295,22.07,12661066.0
2021-04-21,20.0,21.5,19.04,21.39,12997139.0
2021-04-20,21.11,21.765,19.71,20.2,10723817.0
2021-04-19,22.47,22.5308,20.9,21.62,7319170.0
2021-04-16,23.6,23.6,22.23,22.27,5889576.0
2021-04-15,23.71,24.07,22.06,23.89,7309511.0
2021-04-14,25.03,25.8,23.29,23.42,6186172.0
2021-04-13,25.0,25.907,24.41,24.83,6015088.0
2021-04-12,27.46,27.53,25.17,25.65,7459599.0
2021-04-09,28.56,29.26,27.38,27.65,5482762.0
2021-04-08,29.01,29.8003,28.25,28.58,7015886.0
2021-04-07,30.5,30.82,28.07,28.53,9302550.0
2021-04-06,28.1,32.4699,27.21,31.09,15893349.0
2021-04-05,32.28,32.48,28.0,28.14,14103606.0
2021-04-01,30.0,30.82,27.41,29.84,17753838.0
2021-03-31,24.54,27.8,23.6,26.7,18385190.0
2021-03-30,21.09,22.91,20.8,22.46,6840783.0
2021-03-29,21.3,22.01,20.53,20.92,3819297.0
2021-03-26,20.46,21.57,20.02,20.48,4371636.0
2021-03-25,20.0,22.59,19.59,20.21,6446031.0
2021-03-24,23.46,23.54,20.55,20.69,7505863.0
2021-03-23,24.7,24.78,22.61,22.93,4560098.0
2021-03-22,23.94,25.0,23.53,24.72,4107850.0
2021-03-19,24.5,24.56,23.43,23.51,4797602.0
2021-03-18,24.49,25.1387,23.6,24.0,3955967.0
2021-03-17,23.72,24.65,23.028,24.01,5431178.0
2021-03-16,25.94,26.0,23.86,24.7,8033382.0
2021-03-15,27.55,27.55,25.2,25.91,9431899.0
2021-03-12,26.41,28.45,25.84,27.84,10396752.0
2021-03-11,29.67,31.53,28.72,30.43,5170318.0
2021-03-10,30.08,30.54,27.75,28.63,4551405.0
2021-03-09,27.84,30.0,26.81,28.48,7328979.0
2021-03-08,28.0,29.15,25.12,25.68,4698727.0
2021-03-05,24.89,26.55,19.5,26.13,6898950.0
2021-03-04,28.0,28.1,22.01,24.21,7762126.0
2021-03-03,29.82,30.97,28.01,28.33,3389169.0
2021-03-02,31.26,31.55,28.0,28.5,3122552.0
2021-03-01,32.3,33.35,28.56,30.11,5180373.0
2021-02-26,33.0,33.95,28.0,30.83,6240832.0
2021-02-25,34.34,38.5,32.25,32.92,3324840.0
2021-02-24,33.01,35.6599,33.0,34.49,1597071.0
2021-02-23,34.9,34.9,26.7318,33.18,3913787.0
2021-02-22,36.4,37.98,36.1148,36.29,1612667.0
2021-02-19,37.0,37.13,36.01,36.34,1335422.0
2021-02-18,37.0,37.43,35.79,36.31,1637309.0
2021-02-17,36.97,37.88,36.51,37.33,1455910.0
2021-02-16,38.94,39.0,37.0,37.25,1573450.0
2021-02-12,36.73,38.1,35.5,37.98,2723542.0
2021-02-11,39.11,39.1899,36.55,37.15,5176563.0
2021-02-10,41.99,41.99,38.89,39.3,2869637.0
2021-02-09,40.68,42.35,38.62,41.33,3109530.0
2021-02-08,40.95,43.0,40.5,40.83,3519707.0
2021-02-05,41.17,41.42,39.6,40.56,1949468.0
2021-02-04,41.03,41.69,39.7206,41.01,2065268.0
2021-02-03,38.32,40.75,38.2,40.47,2595940.0
2021-02-02,38.96,39.55,37.5,38.16,1614527.0
2021-02-01,38.36,38.67,36.45,38.56,2154971.0
2021-01-29,39.02,39.5799,37.1,38.06,2129686.0
2021-01-28,39.5,40.48,38.02,39.53,2062955.0
2021-01-27,40.5,41.39,37.78,40.65,3078987.0
2021-01-26,39.13,44.24,39.081,41.27,6557176.0
2021-01-25,39.45,39.7603,36.0,38.68,4765290.0
2021-01-22,39.25,40.0,39.0,39.62,1982913.0
2021-01-21,40.05,40.36,39.07,40.3,2002074.0
2021-01-20,40.4,40.978,38.98,39.37,3263178.0
2021-01-19,41.63,42.45,39.21,41.32,3563747.0
2021-01-15,42.85,43.3099,40.6,41.43,2797914.0
2021-01-14,44.86,44.9999,42.11,44.2,2690231.0
2021-01-13,45.68,46.3,43.75,44.4,2526656.0
2021-01-12,43.05,44.7707,42.76,44.5,2988731.0
2021-01-11,40.78,44.8999,39.8069,42.51,4142668.0
2021-01-08,41.2,43.49,40.0359,42.38,4102802.0
2021-01-07,40.96,40.98,38.8,39.9,3045192.0
2021-01-06,38.72,40.96,37.02,37.75,4664919.0
2021-01-05,34.96,37.85,34.05,36.39,2988877.0
2021-01-04,38.0,38.0999,35.5,36.78,4778271.0
2020-12-31,41.63,41.63,39.15,40.08,2163517.0
2020-12-30,42.33,43.34,40.8,41.18,2408976.0
2020-12-29,42.0,42.165,38.9,40.59,4260022.0
2020-12-28,49.08,49.09,42.19,43.6,5946228.0
2020-12-24,45.56,49.48,45.1247,46.1,5838338.0
2020-12-23,42.89,48.8,41.06,44.89,7528726.0
2020-12-22,39.99,46.58,37.5,45.23,9825863.0
2020-12-21,37.26,39.98,36.5,39.0,6894924.0
2020-12-18,35.94,37.49,35.03,35.99,3835338.0
2020-12-17,35.52,36.0,34.55,35.5,2946101.0
2020-12-16,35.23,36.45,34.2,34.95,3792344.0
2020-12-15,34.0,34.96,32.65,34.94,5489207.0
2020-12-14,39.59,39.98,35.0,35.71,5540199.0
2020-12-11,39.32,40.0,36.78,37.91,7537374.0
2020-12-10,39.22,42.6,38.17,41.9,5313445.0
2020-12-09,40.0,44.41,36.15,43.0,12491672.0
2020-12-08,38.35,38.98,35.44,38.56,5587882.0
2020-12-07,35.0,37.59,34.15,36.37,7964259.0
2020-12-04,32.0,34.0,30.41,32.9,5099672.0
2020-12-03,31.39,32.9,30.09,32.56,5263456.0
2020-12-02,26.14,31.79,24.56,29.5,13181742.0
2020-12-01,35.36,35.48,29.0,29.35,10167781.0
2020-11-30,39.1,39.1167,32.56,33.61,7793311.0
2020-11-27,36.77,37.75,36.0,37.13,4132741.0
2020-11-25,34.69,36.67,33.1,34.94,11524452.0
2020-11-24,39.62,42.3,33.6,36.88,27986440.0
2020-11-23,29.83,35.88,29.53,34.08,21660043.0
2020-11-20,25.96,28.7,25.51,26.16,13177645.0
2020-11-19,20.15,25.43,19.87,24.7,12423970.0
2020-11-18,20.64,20.66,19.5,19.68,5241473.0
2020-11-17,18.51,20.99,17.99,19.48,5651104.0
2020-11-16,17.2,18.64,16.8455,18.2,2583169.0
2020-11-13,16.9,17.48,15.87,16.55,2492737.0
2020-11-12,16.9,17.1,16.1,16.37,1599931.0
2020-11-11,17.03,17.15,16.28,17.0,1149687.0
2020-11-10,17.32,17.37,15.34,16.96,2224915.0
2020-11-09,17.85,18.0,16.6,16.88,3094031.0
